Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
198609,9974698958,9974698958,DG,9/26/2025,9/26/2025,3,"-30,213.31",,PR_GR09_406_ONNR
198609,9974699098,9974699098,DG,9/26/2025,9/26/2025,3,"-3,327.44",,PR_GR09_411_ONNR
198609,9974699135,9974699135,DG,9/26/2025,9/26/2025,3,"-3,091.96",,PR_GR09_408_ONNR
198609,9974699211,9974699211,DG,9/26/2025,9/26/2025,3,"-12,222.44",,PR_GR09_414_ONNR
198609,9974699213,9974699213,DG,9/26/2025,9/26/2025,3,"-22,522.24",,PR_GR09_723_ONNR
198609,9974699949,9974699949,DG,9/26/2025,9/26/2025,3,"-2,241.35",,PR_GR09_401_ONNR
198609,,,,,,,"-73,618.74",,
198709,9974689838,9974689838,DG,9/22/2025,9/22/2025,7,"-63,561.19",Excludeจ่ายวันที่  26/9/2025,PR_GR09_371_ONNR
198709,9974693455,9974693455,DG,9/24/2025,9/24/2025,5,"-86,427.00",,PR_GR09_357_ONNR
198709,9974697943,9974697943,DR,9/26/2025,9/27/2025,2,"54,785.49",Excludeจ่ายวันที่  26/9/2025,SFA94006036
198709,9974697944,9974697944,DR,9/26/2025,9/27/2025,2,"20,496.84",Excludeจ่ายวันที่  26/9/2025,SFA94006040
198709,9974698517,9974698517,DG,9/26/2025,9/26/2025,3,"-39,038.54",,PR_GR09_913_ONNR
198709,9974700393,9974700393,DR,9/27/2025,9/28/2025,1,"43,965.77",,PICK AA
198709,9974700394,9974700394,DR,9/27/2025,9/28/2025,1,"102,484.21",,PICK 55
198709,9974700395,9974700395,DR,9/27/2025,9/28/2025,1,"409,936.85",,PICK 55
198709,9974700824,9974700824,DG,9/27/2025,9/28/2025,1,"-2,049.62",,SFA94006013
198709,9974701711,9974701711,DR,9/28/2025,9/29/2025,0,"69,118.44",,SFA94005942
198709,9974701712,9974701712,DR,9/28/2025,9/29/2025,0,"48,604.00",,SFA94006043
