KUNNR,BELNR,ZUONR,BLART,BLDAT,NETDT,VERZN,S_DMBTR,SGTXT,XBLNR
1002541,0800015370,"",MI,20250906,2025-10-06 00:00:00,94,40018,"",12000096
1039634,9974811057,9974811057,DR,20251209,2026-01-08 00:00:00,0,1030346.15,"Partial  250,000 on 7/1/2026",CMI2512000000058
1039634,9974825084,9974825084,DR,20251217,2026-01-16 00:00:00,-8,990280.6900000001,"",CMI2512000000395
1039634,9974836059,9974836059,DR,20251222,2026-01-21 00:00:00,-13,969152.86,"",CMI2512000000537
1039634,9974849895,9974849895,DR,20251227,2026-01-26 00:00:00,-18,485121.65,"",CMI2512000000649
1039634,9974849896,9974849896,DR,20251227,2026-01-26 00:00:00,-18,718228.46,"",CMI2512000000649
1039634,9974861749,9974861749,DR,20260108,2026-02-07 00:00:00,-30,1036253.52,"",CMI2601000000166
10402,0800000018,"",MI,20251226,2026-01-02 00:00:00,6,800,Court fee (car loan case Mr Wongwarun N),""
10402,0800000029,"",MI,20260105,2026-01-12 00:00:00,-4,1020304.63,MI for Provident Fund_NTH_January 2026,""
10402,0800000030,"",MI,20260105,2026-01-12 00:00:00,-4,200979.31,MI for Provident Fund_NTH_January 2026,""
10402,0800000031,"",MI,20260105,2026-01-12 00:00:00,-4,51637.5,MI for Provident Fund_NTH_January 2026,""
10402,0800015292,"",MI,20251217,2025-12-24 00:00:00,15,852000,Return Security Deposit,""
1040554,9974810642,9974810642,DR,20251208,2026-01-07 00:00:00,1,402.15000000000003,"",15577124
1040554,9974810701,9974810701,DR,20251208,2026-01-07 00:00:00,1,353.28000000000003,"",15588996
1040554,9974818137,9974818137,DR,20251212,2026-01-11 00:00:00,-3,625.47,"",15608560
1040554,9974818138,9974818138,DR,20251212,2026-01-11 00:00:00,-3,494.96000000000004,"",15620279
1040554,9974824855,9974824855,DR,20251216,2026-01-15 00:00:00,-7,978.75,"",15631843
1040554,9974827247,9974827247,DR,20251217,2026-01-16 00:00:00,-8,5738.01,บิลยกเลิกรอ CN 01-27/12/25,15651836
1040554,9974827432,9974827432,DR,20251217,2026-01-16 00:00:00,-8,353.28000000000003,บิลยกเลิกรอ CN 01-27/12/25,15651913
1040554,9974849503,9974849503,DR,20251226,2026-01-25 00:00:00,-17,7330.6900000000005,บิลยกเลิกรอ CN 30/12/25,15701744
1040554,9974857739,9974857739,DR,20260105,2026-02-04 00:00:00,-27,2747.65,"",15745878
1040554,9974859495,9974859495,DR,20260106,2026-02-05 00:00:00,-28,5497.66,"",15757369
1063432,9974672430,9974672430,DR,20250909,2025-11-08 00:00:00,61,371120.47000000003,"",LDP4041707/PO302
1063432,9974741868,9974741868,DR,20251031,2025-12-30 00:00:00,9,522550.78,"",LDP4042659 / 312
1063432,9974815402,9974815402,DR,20251214,2026-02-12 00:00:00,-35,390867.84,"",LDP4043300 /3220
1063432,9974835455,9974835455,DR,20251227,2026-02-25 00:00:00,-48,1010764.84,"",LDP4043121 /3220
1068977,9974801159,9974801159,DR,20251203,2025-12-10 00:00:00,29,4905.14,"",4561069056/120
1068977,9974817059,9974817059,DR,20251212,2025-12-19 00:00:00,20,32110,"",01125106897712
1076230,9974804981,9974804981,DR,20251204,2026-01-03 00:00:00,5,235383.37,"",SFA6710461
1076230,9974804982,9974804982,DR,20251204,2026-01-03 00:00:00,5,55414.58,"",SFA6710460
1076230,9974805375,9974805375,DR,20251204,2026-01-03 00:00:00,5,421351.17,"",SFA6710458
1076230,9974805376,9974805376,DR,20251204,2026-01-03 00:00:00,5,392307.62,"",SFA6710457
1076230,9974805377,9974805377,DR,20251204,2026-01-03 00:00:00,5,95695.97,"",SFA6710459
1076230,9974805378,9974805378,DR,20251204,2026-01-03 00:00:00,5,728168.9400000001,"",SFA6710462
1076230,9974806273,9974806273,DG,20251205,2025-12-05 00:00:00,34,-3924.25,"",PR_GR12_112_ONNR
1076230,9974806274,9974806274,DG,20251205,2025-12-05 00:00:00,34,-5065.22,"",PR_GR12_109_ONNR
1076230,9974806275,9974806275,DG,20251205,2025-12-05 00:00:00,34,-4721.8,"",PR_GR12_106_ONNR
1076230,9974806276,9974806276,DG,20251205,2025-12-05 00:00:00,34,-10664.18,"",PR_GR12_116_ONNR
1076230,9974806277,9974806277,DG,20251205,2025-12-05 00:00:00,34,-14546.24,"",PR_GR12_103_ONNR
1076230,9974808084,9974808084,DR,20251206,2026-01-05 00:00:00,3,312307.83,"",SFA6710479
1076230,9974808085,9974808085,DR,20251206,2026-01-05 00:00:00,3,608634.61,"",SFA6710477
1076230,9974808090,9974808090,DR,20251206,2026-01-05 00:00:00,3,702300.5,"",SFA6710478
1076230,9974808091,9974808091,DR,20251206,2026-01-05 00:00:00,3,7370.47,"",SFA6710482
1076230,9974808092,9974808092,DR,20251206,2026-01-05 00:00:00,3,83581.16,"",SFA6710454
1076230,9974808093,9974808093,DR,20251206,2026-01-05 00:00:00,3,40771.82,"",SFA6710480
1076230,9974808094,9974808094,DR,20251206,2026-01-05 00:00:00,3,81543.63,"",SFA6710481
1076230,9974809401,9974809401,DG,20251208,2025-12-08 00:00:00,31,-4365,"",PR_WN12_24_NKNR
1076230,9974809489,9974809489,DG,20251208,2025-12-08 00:00:00,31,-7954,"",PR_WN12_24_NKNR
1076230,9974809504,9974809504,DG,20251208,2025-12-08 00:00:00,31,-14550,"",PR_WN12_11_NKNR
1076230,9974809570,9974809570,DG,20251208,2025-12-08 00:00:00,31,-14550,"",PR_WN12_32_NKNR
1076230,9974809633,9974809633,DG,20251208,2025-12-08 00:00:00,31,-54320,"",PR_WN12_13_NKNR
1076230,9974809792,9974809792,DG,20251208,2025-12-08 00:00:00,31,-24250,"",PR_WN12_16_NKNR
1076230,9974809909,9974809909,DG,20251208,2025-12-08 00:00:00,31,-6663.900000000001,"",PR_WN12_16_NKNR
1076230,9974811555,9974811555,DG,20251209,2025-12-09 00:00:00,30,-3234.9,"",PR_GR12_119_ONNR
1076230,9974812645,9974812645,DR,20251210,2026-01-09 00:00:00,-1,61965.840000000004,"",SFA6710476
1076230,9974813496,9974813496,DG,20251210,2025-12-10 00:00:00,29,-4879.82,"",PR_GR12_137_ONNR
1076230,9974813532,9974813532,DG,20251210,2025-12-10 00:00:00,29,-14491.800000000001,"",PR_GR12_136_ONNR
1076230,9974817578,9974817578,DG,20251212,2025-12-12 00:00:00,27,-11596.35,"",PR_GR12_185_ONNR
1076230,9974817675,9974817675,DG,20251212,2025-12-12 00:00:00,27,-167703.30000000002,"",PR_GR12_188_ONNR
1076230,9974817928,9974817928,DG,20251212,2025-12-12 00:00:00,27,-2087.34,"",PR_GR12_183_ONNR
1076230,9974825128,9974825128,DR,20251217,2026-01-16 00:00:00,-8,29652.440000000002,"",FOC-6710492
1076230,9974825129,9974825129,DR,20251217,2026-01-16 00:00:00,-8,322827.09,"",SFA6710491
1076230,9974825130,9974825130,DR,20251217,2026-01-16 00:00:00,-8,401242.97000000003,"",SFA6710490
1076230,9974832671,9974832671,DR,20251220,2026-01-19 00:00:00,-11,86731.42,"",FOC-6710528
1076230,9974832672,9974832672,DR,20251220,2026-01-19 00:00:00,-11,774632.24,"",SFA6710530
1076230,9974832673,9974832673,DR,20251220,2026-01-19 00:00:00,-11,30624.59,"",FOC-6710533
1076230,9974832674,9974832674,DR,20251220,2026-01-19 00:00:00,-11,659766.72,"",SFA6710536
1076230,9974832678,9974832678,DR,20251220,2026-01-19 00:00:00,-11,92255.43000000001,"",FOC-6710527
1076230,9974832679,9974832679,DR,20251220,2026-01-19 00:00:00,-11,129894.91,"",FOC-6710531
1076230,9974832722,9974832722,DR,20251220,2026-01-19 00:00:00,-11,105034.59,"",FOC-6710529
1076230,9974832723,9974832723,DR,20251220,2026-01-19 00:00:00,-11,1363580.11,"",SFA6710544
1076230,9974832724,9974832724,DR,20251220,2026-01-19 00:00:00,-11,151810.28,"",FOC-6710543
1076230,9974834501,9974834501,DG,20251222,2025-12-22 00:00:00,17,-5737.55,"",PR_GR12_225_ONNR
1076230,9974834600,9974834600,DG,20251222,2025-12-22 00:00:00,17,-1733.93,"",PR_GR12_227_ONNR
1076230,9974834630,9974834630,DG,20251222,2025-12-22 00:00:00,17,-275,"",PR_GR12_229_ONNR
1076230,9974834633,9974834633,DG,20251222,2025-12-22 00:00:00,17,-56696.5,"",PR_GR12_232_ONNR
1076230,9974835019,9974835019,DG,20251222,2025-12-22 00:00:00,17,-11174.4,"",PR_WN12_52_NKNR
1076230,9974835146,9974835146,DG,20251222,2025-12-22 00:00:00,17,-7178,"",PR_GR12_234_ONNR
1076230,9974835732,9974835732,DG,20251222,2025-12-22 00:00:00,17,-18701.600000000002,"",PR_WN12_49_NKNR
1076230,9974836028,9974836028,DR,20251222,2026-01-21 00:00:00,-13,83581.16,"",SFA6710551
1076230,9974836029,9974836029,DR,20251222,2026-01-21 00:00:00,-13,81543.63,"",SFA6710552
1076230,9974836030,9974836030,DR,20251222,2026-01-21 00:00:00,-13,41303.46,"",SFA6710550
1076230,9974836031,9974836031,DR,20251222,2026-01-21 00:00:00,-13,56594.81,"",SFA6710553
1076230,9974837676,9974837676,DG,20251223,2025-12-23 00:00:00,16,-14550,"",PR_WN12_83_NKNR
1076230,9974838493,9974838493,DG,20251223,2025-12-23 00:00:00,16,-1018.5,"",PR_GR12_514_ONNR
1076230,9974838497,9974838497,DG,20251223,2025-12-23 00:00:00,16,-1319.2,"",PR_GR12_245_ONNR
1076230,9974838499,9974838499,DG,20251223,2025-12-23 00:00:00,16,-1940,"",PR_GR12_515_ONNR
1076230,9974838502,9974838502,DG,20251223,2025-12-23 00:00:00,16,-43650,"",PR_GR12_247_ONNR
1076230,9974838653,9974838653,DG,20251223,2025-12-23 00:00:00,16,-6391.72,"",PR_GR12_524_ONNR
1076230,9974838690,9974838690,DG,20251223,2025-12-23 00:00:00,16,-29682,"",PR_GR12_242_ONNR
1076230,9974838812,9974838812,DG,20251223,2025-12-23 00:00:00,16,-56080.55,"",PR_GR12_520_ONNR
1076230,9974838822,9974838822,DG,20251223,2025-12-23 00:00:00,16,-9767.36,"",PR_GR12_527_ONNR
1076230,9974839313,9974839313,DG,20251223,2025-12-23 00:00:00,16,-10767,"",PR_GR12_544_ONNR
1076230,9974839317,9974839317,DG,20251223,2025-12-23 00:00:00,16,-46747.33,"",PR_GR12_547_ONNR
1076230,9974839460,9974839460,DG,20251223,2025-12-23 00:00:00,16,-46269,"",PR_GR12_522_ONNR
1076230,9974839675,9974839675,DG,20251223,2025-12-23 00:00:00,16,-2488.05,"",PR_GR12_239_ONNR
1076230,9974840862,9974840862,DR,20251223,2026-01-22 00:00:00,-14,248873.41,"",SFA6710555
1076230,9974840863,9974840863,DR,20251223,2026-01-22 00:00:00,-14,123177.73,"",SFA6710557
1076230,9974840864,9974840864,DR,20251223,2026-01-22 00:00:00,-14,58489.090000000004,"",SFA6710561
1076230,9974840865,9974840865,DR,20251223,2026-01-22 00:00:00,-14,168013.98,"",SFA6710558
1076230,9974840866,9974840866,DR,20251223,2026-01-22 00:00:00,-14,234334.87,"",SFA6710556
1076230,9974840867,9974840867,DR,20251223,2026-01-22 00:00:00,-14,24590.18,"",SFA6710560
1076230,9974842552,9974842552,DG,20251224,2025-12-24 00:00:00,15,-4879.82,"",PR_GR12_579_ONNR
1076230,9974842601,9974842601,DG,20251224,2025-12-24 00:00:00,15,-2298.9,"",PR_GR12_574_ONNR
1076230,9974842693,9974842693,DG,20251224,2025-12-24 00:00:00,15,-4365,"",PR_GR12_590_ONNR
1076230,9974842778,9974842778,DG,20251224,2025-12-24 00:00:00,15,-14491.87,"",PR_GR12_572_ONNR
1076230,9974843391,9974843391,DG,20251224,2025-12-24 00:00:00,15,-4850,"",PR_GR12_597_ONNR
1076230,9974844368,9974844368,DR,20251224,2026-01-23 00:00:00,-15,8154.360000000001,"",SFA6710554
1076230,9974844369,9974844369,DR,20251224,2026-01-23 00:00:00,-15,382867.44,"",SFA6710562
1076230,9974844370,9974844370,DR,20251224,2026-01-23 00:00:00,-15,165229.9,"",SFA6710559
1076230,9974844371,9974844371,DR,20251224,2026-01-23 00:00:00,-15,163839.69,"",SFA6710563
1076230,9974844397,9974844397,DR,20251224,2026-01-23 00:00:00,-15,40771.82,"",SFA6710565
1076230,9974846196,9974846196,DG,20251225,2025-12-25 00:00:00,14,-9164.16,"",PR_GR12_565_ONNR
1076230,9974846197,9974846197,DG,20251225,2025-12-25 00:00:00,14,-1652.56,"",PR_GR12_531_ONNR
1076230,9974846485,9974846485,DG,20251225,2025-12-25 00:00:00,14,-2910,"",PR_GR12_550_ONNR
1076230,9974846528,9974846528,DG,20251225,2025-12-25 00:00:00,14,-30320.9,"",PR_GR12_562_ONNR
1076230,9974846530,9974846530,DG,20251225,2025-12-25 00:00:00,14,-1256.94,"",PR_GR12_559_ONNR
1076230,9974846891,9974846891,DG,20251225,2025-12-25 00:00:00,14,-4627.3,"",PR_GR12_556_ONNR
1076230,9974859312,9974859312,DR,20260106,2026-02-05 00:00:00,-28,213386.67,"",SFA6710583
1076230,9974859313,9974859313,DR,20260106,2026-02-05 00:00:00,-28,177771.02,"",SFA6710580
1076230,9974859314,9974859314,DR,20260106,2026-02-05 00:00:00,-28,265239.31,"",SFA6710578
1076230,9974859315,9974859315,DR,20260106,2026-02-05 00:00:00,-28,260208.34,"",SFA6710584
1076230,9974859316,9974859316,DR,20260106,2026-02-05 00:00:00,-28,133791.09,"",SFA6710579
1076230,9974861201,9974861201,DR,20260107,2026-02-06 00:00:00,-29,518538.18,"",SFA6710582
1076230,9974861203,9974861203,DR,20260107,2026-02-06 00:00:00,-29,22740.38,"",SFA6710581
1076230,9974861205,9974861205,DR,20260107,2026-02-06 00:00:00,-29,553579.54,"",SFA6710577
1076230,9974861243,9974861243,DR,20260107,2026-02-06 00:00:00,-29,313644.68,"",SFA6710575
1076230,9974861259,9974861259,DR,20260107,2026-02-06 00:00:00,-29,3313437.29,"",SFA6710574
1081674,9974800847,9974800847,DR,20251203,2026-01-02 00:00:00,6,2967.96,วบ 09.12.2025 / รอนัดชำระรอบพิเศษ,C250541003
1081674,9974825318,9974825318,DR,20251217,2026-01-16 00:00:00,-8,3706.41,"",C250565331
1113073,9974857917,9974857917,DR,20260106,2026-01-07 00:00:00,1,758604.3200000001,"",CMI2601000000045
1113073,9974858057,9974858057,DR,20260106,2026-01-07 00:00:00,1,514892.49,"",CMI2601000000091
1135335,9974798371,9974798371,DR,20251202,2026-01-01 00:00:00,7,22882.49,วบเมล 30.12 โอน 30.1,POI-251100988
1135335,9974798372,9974798372,DR,20251202,2026-01-01 00:00:00,7,10983.59,วบเมล 30.12 โอน 30.1,POD-251100416
1135335,9974798373,9974798373,DR,20251202,2026-01-01 00:00:00,7,4774.9800000000005,วบเมล 30.12 โอน 30.1,POI-251101038
1135335,9974798374,9974798374,DR,20251202,2026-01-01 00:00:00,7,17459.99,วบเมล 30.12 โอน 30.1,POI-251101431
1135335,9974798375,9974798375,DR,20251202,2026-01-01 00:00:00,7,33780.01,วบเมล 30.12 โอน 30.1,POD-251100646
1135335,9974811115,9974811115,DR,20251209,2026-01-08 00:00:00,0,4774.9800000000005,วบเมล 30.12 โอน 30.1,POI-251200079
1135335,9974822664,9974822664,DR,20251216,2026-01-15 00:00:00,-7,22882.49,วบเมล 30.12 โอน 30.1,POI-251200376
1135335,9974825719,9974825719,DR,20251217,2026-01-16 00:00:00,-8,23279.99,วบเมล 30.12 โอน 30.1,POI-251200607
1135335,9974837363,9974837363,DR,20251223,2026-01-22 00:00:00,-14,49512.01,วบเมล 30.12 โอน 30.1,POD-251200431
1135335,9974844617,9974844617,DR,20251225,2026-01-24 00:00:00,-16,27458.98,วบเมล 30.12 โอน 30.1,POI-251201085
1135335,9974844618,9974844618,DR,20251225,2026-01-24 00:00:00,-16,9152.99,วบเมล 30.12 โอน 30.1,POD-251200550
1135335,9974844619,9974844619,DR,20251225,2026-01-24 00:00:00,-16,4774.9800000000005,วบเมล 30.12 โอน 30.1,POI-251200848
1135335,9974844620,9974844620,DR,20251225,2026-01-24 00:00:00,-16,23279.99,วบเมล 30.12 โอน 30.1,POI-251201367
1135335,9974844621,9974844621,DR,20251225,2026-01-24 00:00:00,-16,3819.9900000000002,วบเมล 30.12 โอน 30.1,POI-251201165
1135335,9974857982,9974857982,DR,20260106,2026-02-05 00:00:00,-28,11640,"",POI-251200608
1135335,9974862335,9974862335,DR,20260108,2026-02-07 00:00:00,-30,13729.49,"",POI-251201101
1135335,9974862336,9974862336,DR,20260108,2026-02-07 00:00:00,-30,4774.9800000000005,"",POI-251200880
1135335,9974862337,9974862337,DR,20260108,2026-02-07 00:00:00,-30,45420,"",POD-260100032
1213196,9974814309,9974814309,DR,20251210,2026-01-09 00:00:00,-1,759.49,"",15577042
